indicator_code,indicator,n_obs,min_date,max_date
acc_mobile_pen,Mobile Subscription Penetration,1,2025-12-31,2025-12-31
aff_data_income,Data Affordability Index,1,2024-12-31,2024-12-31
gen_gap_mobile,Mobile Phone Gender Gap,1,2024-12-31,2024-12-31
gen_mm_share,Female Mobile Money Account Share,1,2024-12-31,2024-12-31
usg_active_rate,Mobile Money Activity Rate,1,2024-12-31,2024-12-31
usg_atm_count,ATM Transaction Count,1,2025-07-07,2025-07-07
usg_atm_value,ATM Transaction Value,1,2025-07-07,2025-07-07
usg_crossover,P2P/ATM Crossover Ratio,1,2025-07-07,2025-07-07
usg_mpesa_active,M-Pesa 90-Day Active Users,1,2024-12-31,2024-12-31
usg_mpesa_users,M-Pesa Registered Users,1,2024-12-31,2024-12-31
usg_p2p_value,P2P Transaction Value,1,2025-07-07,2025-07-07
usg_telebirr_users,Telebirr Registered Users,1,2025-06-30,2025-06-30
usg_telebirr_value,Telebirr Transaction Value,1,2025-06-30,2025-06-30
acc_4g_cov,4G Population Coverage,2,2023-06-30,2025-06-30
acc_mm_account,Mobile Money Account Rate,2,2021-12-31,2024-11-29
gen_gap_acc,Account Ownership Gender Gap,2,2021-12-31,2024-11-29
usg_p2p_count,P2P Transaction Count,2,2024-07-07,2025-07-07
